code_commune,department_code,name,centroid_lon,centroid_lat,address_count,postal_codes,min_lon,min_lat,max_lon,max_lat
01001,01,L'Abergement-Clémenciat,4.924535449999999,46.14693707500001,440,01400,4.90788,46.122965,4.95789,46.171981
01002,01,L'Abergement-de-Varey,5.423410843750001,46.008225915178535,224,01640,5.411061,45.996182,5.43373,46.021678
01004,01,Ambérieu-en-Bugey,5.355179549340813,45.9602555661206,5006,01500,5.327705,45.936025,5.4134,45.982141
01005,01,Ambérieux-en-Dombes,4.905675695461201,45.99668973499269,683,01330,4.887756,45.969131,4.948169,46.016496
01006,01,Ambléon,5.600996294117647,45.74919238235294,68,01300,5.598682,45.74664,5.603035,45.750949
01007,01,Ambronay,5.351293642628209,46.00677811217949,1248,01500,5.309381,45.984425,5.41071,46.037653
01008,01,Ambutrix,5.33764739179954,45.93874504555809,439,01500,5.329139,45.934448,5.343527,45.944741
01009,01,Andert-et-Condon,5.657716886597938,45.78854766494841,194,01300,5.652209,45.760676,5.666943,45.804508
01010,01,Anglefort,5.808986091900308,45.91354398598131,642,01350,5.787295,45.885168,5.823299,45.937595
01011,01,Apremont,5.660424267326733,46.208818074257444,202,01100,5.643594,46.179182,5.671538,46.228013
01012,01,Aranc,5.506863909871243,46.00065562231763,233,01110,5.482933,45.983059,5.52738,46.018738
01013,01,Arandas,5.484025362962963,45.89825974074078,135,01230,5.471862,45.892885,5.488862,45.912348
01014,01,Arbent,5.675434589208631,46.28160785035969,1390,01100,5.654907,46.268167,5.68978,46.303527
01015,01,Arboys en Bugey,5.648141206593404,45.720594386813154,455,01300,5.627419,45.692499,5.659051,45.747786
01016,01,Arbigny,4.967080019685042,46.47096747244094,254,01190,4.957476,46.464886,4.987966,46.482749
01017,01,Argis,5.4876771547277965,45.93417686532953,349,01230,5.473133,45.921425,5.498648,45.945734
01019,01,Armix,5.585983181818182,45.84927793939394,33,01510,5.584234,45.848298,5.589552,45.850518
01021,01,Ars-sur-Formans,4.821504484374997,45.994286998437495,640,01480,4.801919,45.982567,4.831969,46.007109
01022,01,Artemare,5.692637705650457,45.87304358212868,761,01510,5.678448,45.861539,5.702216,45.879043
01023,01,Asnières-sur-Saône,4.881987054545454,46.383643418181826,55,01570,4.872093,46.379807,4.885261,46.385821
01024,01,Attignat,5.167049860493087,46.28352696692713,1663,01340,5.144466,46.262827,5.215761,46.313128
01025,01,Bâgé-Dommartin,4.958560333156783,46.325835340572006,1888,01380,4.914763,46.288449,5.030578,46.367143
01026,01,Bâgé-le-Châtel,4.930359589632832,46.30887066090707,463,01380,4.923736,46.303742,4.939276,46.314101
01027,01,Balan,5.101319178160906,45.83811057586187,870,01360,5.083231,45.81911,5.12785,45.852647
01028,01,Baneins,4.902444666666673,46.11341128052802,303,01990,4.887597,46.100358,4.925786,46.126527
01029,01,Beaupont,5.262240587112172,46.41982727684971,419,01270,5.239081,46.394024,5.281242,46.458407
01030,01,Beauregard,4.752986017006801,46.00063311904757,294,01480,4.750286,45.996538,4.762343,46.005649
01031,01,Bellignat,5.6314400679079935,46.24508308105148,913,01100,5.619895,46.232151,5.641944,46.255401
01032,01,Béligneux,5.132222057017545,45.855089028947326,1140,01360,5.110742,45.845709,5.162693,45.87164
01033,01,Valserhône,5.81201074921506,46.11542408928571,5096,01200,5.757852,46.080723,5.860414,46.167014
01034,01,Belley,5.687172794879686,45.75611281307827,3242,01300,5.661638,45.727457,5.716882,45.774429
01035,01,Belleydoux,5.778859054794522,46.25309111415526,219,01130,5.758916,46.24208,5.811513,46.264052
01036,01,Valromey-sur-Séran,5.666953318681312,45.901814019979945,1001,01260,5.626221,45.868927,5.706961,45.967116
01037,01,Bénonces,5.477438570754715,45.82709342452828,212,01470,5.469432,45.819481,5.503185,45.864446
01038,01,Bény,5.285371073170733,46.31977415365852,410,01370,5.249208,46.293457,5.312672,46.346017
01040,01,Béréziat,5.04340712236287,46.36719802531645,237,01340,5.023358,46.354618,5.061185,46.379068
